Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
12/16/2016,Seine,1037820,106793786,70.63%,n/a,n/a,n/a,75427559,14385568976,128.19,00:01:27,03:10:43,5.09
12/23/2016,Seine,1071942,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1/1/2016,Tahoe,375281,23640784,25.44%,31.11%,16.72%,9.16%,6015005,153407298,17.73,00:01:38,00:25:30,2.58
1/8/2016,Tahoe,393399,23656715,25.57%,31.11%,16.72%,9.16%,6048623,157617672,17.67,00:01:40,00:26:04,2.65
1/15/2016,Tahoe,396349,23751158,25.19%,33.85%,15.09%,6.81%,5983783,130322032,17.76,00:01:21,00:21:47,2.67
1/22/2016,Tahoe,408522,23930773,24.87%,35.38%,14.19%,5.50%,5950512,154753731,18.53,00:01:34,00:26:00,2.59
1/29/2016,Tahoe,417315,24083272,24.87%,35.38%,14.19%,5.50%,5989294,153369530,18.61,00:01:34,00:25:36,2.66
2/5/2016,Tahoe,432012,24259275,24.32%,35.38%,14.19%,5.50%,5900178,130653378,17.6,00:01:21,00:22:09,2.56
2/12/2016,Tahoe,460299,24563710,24.78%,33.88%,13.34%,6.06%,6087445,154257447,18.26,00:01:34,00:25:20,2.65
2/19/2016,Tahoe,459014,24940566,24.84%,32.51%,12.57%,6.56%,6195810,130529379,16.84,00:01:23,00:21:04,2.59
2/26/2016,Tahoe,429068,25027634,24.59%,32.51%,12.57%,6.56%,6153665,137544987,17.1,00:01:26,00:22:21,2.57
3/4/2016,Tahoe,491384,25214725,24.05%,32.51%,12.57%,6.56%,6063545,137014065,17.71,00:01:22,00:22:36,2.5
3/11/2016,Tahoe,626482,25446911,23.06%,32.51%,12.57%,6.56%,5868834,140758891,16.03,00:01:36,00:23:59,2.42
3/18/2016,Tahoe,477702,25810678,23.56%,31.21%,13.97%,7.48%,6081104,140889359,16.81,00:01:29,00:23:10,2.49
3/25/2016,Tahoe,407050,25625374,23.94%,31.21%,13.97%,7.48%,6134504,141937838,17.4,00:01:24,00:23:08,2.56
4/1/2016,Tahoe,360039,25557459,24.17%,31.21%,13.97%,7.48%,6176485,126817651,16.35,00:01:22,00:20:32,2.55
4/8/2016,Tahoe,351997,25456956,23.85%,31.21%,13.97%,7.48%,6071813,121536331,16.84,00:01:18,00:20:01,2.69
4/15/2016,Tahoe,340196,25471366,24.54%,33.45%,15.78%,9.60%,6249534,132602912,16.23,00:01:26,00:21:13,2.58
4/22/2016,Tahoe,329508,25385697,24.14%,35.87%,17.73%,11.90%,6128006,129818817,17.14,00:01:18,00:21:11,2.68
4/29/2016,Tahoe,326886,25152512,24.94%,35.87%,17.73%,11.90%,6271846,138339323,17.26,00:01:23,00:22:03,2.62
5/6/2016,Tahoe,385920,25089410,25.11%,35.87%,17.73%,11.90%,6300360,127161840,16.69,00:01:20,00:20:11,2.59
5/13/2016,Tahoe,481729,25403220,25.30%,32.67%,16.24%,9.93%,6427918,127228349,17.02,00:01:16,00:19:48,2.59
